 id;Tree height error;Tree height, m;Stem diameter error;Stem diameter,cm;Stem radial increment error;Stem radial increment;BCEF error;BCEF;R/S error;R/S;Species
218A0077;0.5;20;0.3;35.7;0.01;3.4;0.052;1.172;0.018;0.3;Acer platanoides
218A0212;0.5;15;0.3;33.7;0.01;3.2;0.052;1.172;0.018;0.3;Acer platanoides
218A0255;0.5;20;0.3;34.4;0.01;3.2;0.052;1.172;0.018;0.3;Acer platanoides
218A0262;0.5;13;0.3;34.7;0.01;3.3;0.052;1.172;0.018;0.3;Acer platanoides
218A0281;0.5;14;0.3;45.8;0.01;4.3;0.052;1.172;0.018;0.3;Acer platanoides
218A0104;0.5;11;0.3;21.7;0.01;2.7;0.012;0.8;0.011;0.2;Betula pendula
218A0210;0.5;11;0.3;21;0.01;2.6;0.012;0.8;0.011;0.2;Betula pendula
218A0285;0.5;11;0.3;23.9;0.01;3;0.012;0.8;0.011;0.2;Betula pendula
218A0079;0.5;25;0.3;32.2;0.01;2;0.008;0.8;0.036;0.3;Larix sibirica
218A0138;0.5;19;0.3;40.7;0.01;2.6;0.008;0.8;0.036;0.3;Larix sibirica
218A0277;0.5;24;0.3;26.1;0.01;1.6;0.008;0.8;0.036;0.3;Larix sibirica
218A0111;0.5;12;0.3;28;0.01;5.3;0.004;0.7;0.08;0.3;Tilia cordata
218A0121;0.5;17;0.3;37.9;0.01;7.1;0.004;0.7;0.08;0.3;Tilia cordata
218A0153;0.5;14;0.3;35.3;0.01;6.7;0.004;0.7;0.08;0.3;Tilia cordata
218A0186;0.5;17;0.3;40.4;0.01;7.6;0.004;0.7;0.08;0.3;Tilia cordata
218A0270;0.5;11;0.3;25.2;0.01;4.7;0.004;0.7;0.08;0.3;Tilia cordata
